bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_sketch_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,medium,medium,5,4,30,0,True,2,True,5,35708,25600,749,0.023325000000000002
002,gpt-5.4,gpt-5.4-mini,medium,medium,6,4,30,0,True,2,True,6,44085,40448,1793,0.02753225
003,gpt-5.4,gpt-5.4-mini,medium,medium,13,4,30,0,True,2,True,13,105670,87552,2412,0.05771149999999999
004,gpt-5.4,gpt-5.4-mini,medium,medium,14,4,30,0,True,2,True,14,114626,104320,3498,0.060902500000000005
005,gpt-5.4,gpt-5.4-mini,medium,medium,6,4,30,0,True,2,True,6,44203,41856,1814,0.026305749999999996
006,gpt-5.4,gpt-5.4-mini,medium,medium,6,4,30,0,True,2,True,6,44203,41344,2068,0.02942175
007,gpt-5.4,gpt-5.4-mini,medium,medium,8,4,30,0,True,2,True,8,61660,55680,1841,0.032845
008,gpt-5.4,gpt-5.4-mini,medium,medium,20,4,30,0,True,2,True,20,170820,141440,6784,0.12224499999999998
009,gpt-5.4,gpt-5.4-mini,medium,medium,21,4,30,0,True,2,True,21,179728,147456,9830,0.15707200000000002
010,gpt-5.4,gpt-5.4-mini,medium,medium,8,4,30,0,True,2,True,8,61409,56192,1562,0.029165249999999997
011,gpt-5.4,gpt-5.4-mini,medium,medium,3,4,30,0,True,2,True,3,13930,12928,1025,0.013118499999999998
012,gpt-5.4,gpt-5.4-mini,medium,medium,10,4,30,0,True,2,True,10,78838,72064,10289,0.12036549999999999
013,gpt-5.4,gpt-5.4-mini,medium,medium,9,4,30,0,True,2,True,9,70575,63744,4519,0.061696749999999995
014,gpt-5.4,gpt-5.4-mini,medium,medium,3,4,30,0,True,2,True,3,13893,12288,543,0.00897225
015,gpt-5.4,gpt-5.4-mini,medium,medium,12,4,30,0,True,2,True,12,96575,87552,4183,0.06405274999999999
016,gpt-5.4,gpt-5.4-mini,medium,medium,11,4,30,0,True,2,True,11,87833,71552,2667,0.055965249999999994
017,gpt-5.4,gpt-5.4-mini,medium,medium,3,4,30,0,True,2,True,3,13982,12416,1898,0.0224895
018,gpt-5.4,gpt-5.4-mini,medium,medium,19,4,30,0,True,2,False,19,163991,145024,26805,0.30988675
019,gpt-5.4,gpt-5.4-mini,medium,medium,25,4,30,0,True,2,False,25,226744,187264,17726,0.25001799999999996
020,gpt-5.4,gpt-5.4-mini,medium,medium,20,4,30,0,True,2,False,20,172580,150912,28017,0.326119
021,gpt-5.4,gpt-5.4-mini,medium,medium,15,4,30,0,True,2,True,15,124788,103296,7689,0.11666699999999999
022,gpt-5.4,gpt-5.4-mini,medium,medium,17,4,30,0,True,2,True,17,142904,123520,11093,0.15059999999999998
