bench_name,model_name,temperature,max_feedback_cycles,seed,loop,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1910,0,1425,0.0166375
002,gpt-5.4-nano,1.0,10,0,True,medium,True,2,2,3820,3584,5809,0.058832999999999996
003,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1909,1792,4281,0.043180249999999996
004,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1908,1792,3305,0.033419
005,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1910,0,2726,0.029647499999999997
006,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1910,1792,2639,0.026761499999999997
007,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1910,1792,2476,0.025131499999999998
008,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1910,0,6793,0.07031749999999999
009,gpt-5.4-nano,1.0,10,0,True,medium,True,2,2,3820,3584,19230,0.19304299999999996
010,gpt-5.4-nano,1.0,10,0,True,medium,True,3,3,6964,5376,14355,0.14620699999999998
011,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1916,1792,1271,0.013089
012,gpt-5.4-nano,1.0,10,0,True,medium,True,2,2,3838,3584,12849,0.1292555
013,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1919,1792,3172,0.03210275
014,gpt-5.4-nano,1.0,10,0,True,medium,True,2,2,3951,3584,2033,0.02123675
015,gpt-5.4-nano,1.0,10,0,True,medium,False,3,3,7534,5376,23645,0.23981949999999996
016,gpt-5.4-nano,1.0,10,0,True,medium,True,2,2,4537,3584,19033,0.19196924999999998
017,gpt-5.4-nano,1.0,10,0,True,medium,True,1,1,1915,1792,1138,0.011757749999999999
018,gpt-5.4-nano,1.0,10,0,True,medium,False,2,2,5391,3584,30945,0.31215675
019,gpt-5.4-nano,1.0,10,0,True,medium,False,2,2,4325,3584,26586,0.26723424999999995
020,gpt-5.4-nano,1.0,10,0,True,medium,False,2,2,4639,3584,32972,0.33148674999999994
021,gpt-5.4-nano,1.0,10,0,True,medium,False,2,2,4840,3584,30212,0.304138
022,gpt-5.4-nano,1.0,10,0,True,medium,False,2,2,5100,3584,22641,0.22875299999999998
