cell,stage,arm,role,theorem,replicate,failed,solved,cost,uncached_cost,receipts,requests,input,cached,output,artifact_sha256,input_sha256,result_sha256,proof_sha256,cache_sha256
learning__adapt__curator__aime_1990_p4__seed0,learning,adapt,curator,aime_1990_p4,0,False,True,0.0064994,0.0064994,2,2,29227,0,545,,1bb2d0cd589b3888821ac9396e9e6fe537600b164bd206e15d8c7ade45a639b1,c9e1165076459fca2ed95ba91f177e3e8593a8903c4271dba25efd1073bf889e,,13a803adfb50d8cae963d276b039605f70310f9d546493797a8e0bc079ed7931
learning__adapt__curator__imo_1967_p3__seed0,learning,adapt,curator,imo_1967_p3,0,False,True,0.01251016,0.0157228,4,4,70274,17848,1390,,694566355330f6b7911bbf8912f03e6652a55cde5d57f6ba219517f59550ebcd,e6eda8fb524b866e7118d9c28fe4116987a0ffe2c6d738eeb5e8dabc28bf2fde,,ce501fa34a722d26b32d1cc324b92da628c53ca183178deec147417f7e4268f8
learning__adapt__curator__imo_1977_p6__seed0,learning,adapt,curator,imo_1977_p6,0,False,True,0.006954200000000001,0.006954200000000001,2,2,31147,0,604,,949597ab2168aa2c78fe3037915c9f3d8bb5c0536d1d9d5149a62be2a748121d,0af42f3e9473fb73f566d4babc7d923efeb60b514fe73403efc402a46143867d,,8e9ce3ca4b7c736a37f29f44345c5cdcb92e5e9e18e36113c01ffd1770cd528c
learning__adapt__curator__aime_1988_p3__seed0,learning,adapt,curator,aime_1988_p3,0,False,True,0.008040599999999998,0.008040599999999998,2,2,34461,0,957,,df24f27d6eaec2692734e24965109ba201778da9dbfc4e2691341b4d65676ea2,e033242c9e901e0e6319876006619ef11750e97d28ab88b9ef80c4d0be6fa869,,553c1c73eafa327014378f6e647362831c678b205c2bdb662ba20d3cc003711a
learning__adapt__reducer__block0__seed0,learning,adapt,reducer,block0,0,False,True,0.01707158,0.0218234,6,6,93769,26399,2558,,af11d176ce510fca92f8cf391be3313e241274a496b1861d06b2fd418713b562,3ee94079b6800a6ed1ed4f8bfdbd28fbde65e7698efa3542ba4b017c6e90320e,,41eb4c3fadddfae97fcad2268787d8b9f688460e78e2ca209624788db237daef
learning__adapt__reflector__aime_1990_p4__seed0,learning,adapt,reflector,aime_1990_p4,0,False,True,0.01037782,0.017621199999999997,4,4,84092,40241,669,,b090a438acb45fe15aac0fd0149386e7222d064c4fe175fe2dedb9e7b66c32bf,1bd4a6790faa8b1b9906ddd8e2b598a23b025689f84aee4e3cf9f7a958db3839,,ae088f9697327878996047843a285f505bf58ef51581619e1f293958b3e443b4
learning__adapt__reflector__imo_1967_p3__seed0,learning,adapt,reflector,imo_1967_p3,0,False,True,0.010803499999999999,0.014470999999999998,3,3,66247,20375,1018,,42c4ce6ea703d2cd68d01a408f75aa76e715d4c5fcf2982226604b8be99cef22,59fdaf4e7ee7e6eae8a9a8d4062570616b6e5f0975bfb63798224abefcbb2702,,6c6ad4379e5f98690f70d48d2e6be709597e5f0089df1cacdb7e18528f027b50
learning__adapt__reflector__imo_1977_p6__seed0,learning,adapt,reflector,imo_1977_p6,0,False,True,0.01115802,0.018576,4,4,85398,41211,1247,,4990f404921d0998284f529567b13e2b082aa6ac6d9c813dabb42dd0cf4e3ebe,261e519ebdfb029e2c62b8b1255634fbe8030a06467831a6a9df56ee07d29dbc,,33c42d75539ac4ff2a170818f587cbda4530d13ae3fedb47f0d4a9e94a7982a4
learning__adapt__reflector__aime_1988_p3__seed0,learning,adapt,reflector,aime_1988_p3,0,False,True,0.01075548,0.0144228,3,3,67842,20374,712,,d6d05cf54f62a9364cf19a0f13c1d023a99bf262a71c317179d44fb4ff567aad,3327785fc10df1e018558e8d783c8390aa512d1251b60cbef323ff0f57c67775,,b23dcbbe37302fd0c3a84833aa6b3b1d0d0a3eb0f0e17fc447e248afb2e86dc7
learning__adapt__curator__imo_1963_p5__seed0,learning,adapt,curator,imo_1963_p5,0,False,True,0.014037599999999999,0.014037599999999999,4,4,60294,0,1649,,0de4bfac98f0a40f5b446da4be61557bc8198d858d451bcb8e2b2517de9ec007,a60e45d6df221c306a024445ba88df2d456a9f3634adb2ca51f65c0a750eeb60,,47b80dde3c2261b1c6fffcd7549f11ae548057e60bef6d71ea13f8a5edc3e0bd
learning__adapt__curator__amc12b_2004_p3__seed0,learning,adapt,curator,amc12b_2004_p3,0,False,True,0.01119158,0.013952599999999999,4,4,65035,15339,788,,d6ec332eef02757c2f26230f4c7f238aba510d31d13ec732c8f6f73ee44a9a2e,32713f7c8e0c7afd92aebfc5f971f61286ab26bd4fa325c5367517100c81dec0,,2703ee4c33f30f08acb1c244734cabc6105b934baaf3b3353bb3a4e194dabf87
learning__adapt__curator__mathd_algebra_37__seed0,learning,adapt,curator,mathd_algebra_37,0,False,True,0.0063376,0.0063376,2,2,29114,0,429,,372dfb942921a2395721395347dc4a6aa4fe9a142fb5b9c3173e29aa62fdf1c1,dda651e007637b609962d257e5c9a36f3961f2402c813bf6f934f345125a0c90,,015a92de5757a503161848e11f3449ef7e88585de100063e128bfdb1fd5b53c7
learning__adapt__reducer__block1__seed0,learning,adapt,reducer,block1,0,False,True,0.009952599999999999,0.011194599999999999,4,4,46127,6900,1641,,a10390f17e28e81d600146bb10643b49c523bbdcf8a6b6092f0aede925a38f1d,585a1512a806d0c95c4f9ef17d9a2c8588d90788d73ed161e950f87441fa59b8,,be3564579e4e45ad9b7c679a8e0adbc7ff04edb65296232e3ca1d0cf815246d3
