bench_name,model_name,temperature,max_feedback_cycles,seed,loop,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-mini,1.0,10,0,True,True,25,25,106842,81920,4931,0.0907025
002,gpt-5.4-mini,1.0,10,0,True,True,29,29,137350,96768,7276,0.1355835
003,gpt-5.4-mini,1.0,10,0,True,True,11,11,25538,20224,2297,0.0321405
004,gpt-5.4-mini,1.0,10,0,True,False,46,46,205464,150272,11366,0.20143399999999995
005,gpt-5.4-mini,1.0,10,0,True,False,39,39,204408,142592,10503,0.200124
006,gpt-5.4-mini,1.0,10,0,True,True,5,5,13081,11008,1271,0.016677249999999998
007,gpt-5.4-mini,1.0,10,0,True,True,35,35,168273,125696,10068,0.16961325
008,gpt-5.4-mini,1.0,10,0,True,False,66,66,205729,157696,12049,0.20024324999999996
009,gpt-5.4-mini,1.0,10,0,True,False,49,49,180773,125440,11914,0.20398625
010,gpt-5.4-mini,1.0,10,0,True,True,28,28,65283,55808,5185,0.07066975
011,gpt-5.4-mini,1.0,10,0,True,True,1,1,1916,1792,258,0.002959
012,gpt-5.4-mini,1.0,10,0,True,True,7,7,22886,14592,2767,0.0398615
013,gpt-5.4-mini,1.0,10,0,True,True,21,21,132534,83456,8070,0.15247949999999996
014,gpt-5.4-mini,1.0,10,0,True,True,1,1,1913,1792,203,0.00240525
015,gpt-5.4-mini,1.0,10,0,True,False,74,74,247549,187392,10197,0.20059024999999994
016,gpt-5.4-mini,1.0,10,0,True,False,79,79,194669,151040,13119,0.20460625000000005
017,gpt-5.4-mini,1.0,10,0,True,True,4,4,8628,7168,505,0.007771
018,gpt-5.4-mini,1.0,10,0,True,False,32,32,102761,66048,14680,0.20094725000000002
019,gpt-5.4-mini,1.0,10,0,True,False,29,29,191973,144128,12302,0.20084225000000003
020,gpt-5.4-mini,1.0,10,0,True,False,18,18,157748,104448,12384,0.20352099999999998
021,gpt-5.4-mini,1.0,10,0,True,False,30,30,181797,127744,12007,0.20360425000000001
022,gpt-5.4-mini,1.0,10,0,True,False,32,32,162744,104960,11912,0.20446999999999999
