cell,theorem,stage,arm,seed,solved,failed,cost,reference_solved,reference_cost,exposed,model_requests,proof_checks,input_tokens,cached_input_tokens,output_tokens,source
aime_1984_p1__training-A__gpt-5.6-luna__seed0,aime_1984_p1,training,A,0,False,False,0.06882318,False,0.032781779999999996,True,17,14,448635,182339,9931,experiments/output/resource_completion_20260913/training/A/configs/aime_1984_p1__training-A__gpt-5.6-luna__seed0
aime_1988_p3__training-A__gpt-5.6-luna__seed0,aime_1988_p3,training,A,0,True,False,0.05894683999999999,True,0.039468159999999995,True,21,14,336790,147602,15131,experiments/output/resource_completion_20260913/training/A/configs/aime_1988_p3__training-A__gpt-5.6-luna__seed0
aime_1988_p8__training-A__gpt-5.6-luna__seed0,aime_1988_p8,training,A,0,True,False,0.01040996,True,0.011352979999999999,False,4,4,37387,19088,5307,experiments/output/resource_completion_20260913/training/A/configs/aime_1988_p8__training-A__gpt-5.6-luna__seed0
aime_1990_p4__training-A__gpt-5.6-luna__seed0,aime_1990_p4,training,A,0,True,False,0.014471019999999998,True,0.0077706400000000005,False,10,7,96287,61331,5211,experiments/output/resource_completion_20260913/training/A/configs/aime_1990_p4__training-A__gpt-5.6-luna__seed0
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,training,A,0,False,False,0.07073942,False,0.040076360000000005,True,49,26,875806,698701,17787,experiments/output/resource_completion_20260913/training/A/configs/algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0
amc12_2000_p1__training-A__gpt-5.6-luna__seed0,amc12_2000_p1,training,A,0,True,False,0.012673799999999999,False,0.0385016,False,5,5,39417,23860,7571,experiments/output/resource_completion_20260913/training/A/configs/amc12_2000_p1__training-A__gpt-5.6-luna__seed0
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,amc12_2000_p6,training,A,0,True,False,0.0072057200000000005,True,0.011517859999999998,False,6,2,52849,39456,3115,experiments/output/resource_completion_20260913/training/A/configs/amc12_2000_p6__training-A__gpt-5.6-luna__seed0
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,amc12a_2002_p13,training,A,0,True,False,0.021529859999999998,True,0.02622858,False,10,5,118623,71493,8895,experiments/output/resource_completion_20260913/training/A/configs/amc12a_2002_p13__training-A__gpt-5.6-luna__seed0
amc12a_2003_p1__training-A__gpt-5.6-luna__seed0,amc12a_2003_p1,training,A,0,True,False,0.0016621399999999999,True,0.0024149799999999997,False,2,2,12835,10987,894,experiments/output/resource_completion_20260913/training/A/configs/amc12a_2003_p1__training-A__gpt-5.6-luna__seed0
amc12a_2013_p7__training-A__gpt-5.6-luna__seed0,amc12a_2013_p7,training,A,0,True,False,0.00082044,True,0.00079284,False,1,1,6189,4772,368,experiments/output/resource_completion_20260913/training/A/configs/amc12a_2013_p7__training-A__gpt-5.6-luna__seed0
