cell,request,receipt,output_limit,structured,shadow_32768_denied,proof_checked,truncated
aime_1984_p1__training-A__gpt-5.6-luna__seed0,1,4378c2f21d9341698b234716baafbf09,4096,False,False,False,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,2,74f02c3c3af0448bb275779d630e6852,4096,False,False,False,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,3,edcfed9644f343bfb4b7d1937adbe778,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,4,26a666fb9942401fb38279513cb9c519,4096,False,False,False,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,5,6d9355dcc26144809c33209ae2cfdf1e,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,6,20b83974f1024295ba6948dc994f225a,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,7,375d2e0f18d945cebe0c1bc8cad84ef5,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,8,eef7facd064841948279d1a8031a61d6,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,9,87afb188b7e4451ebc0ed923bddc2879,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,10,48b210c7e08b4e63b7b6255c5020cced,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,11,c06a0c0a002540598aff53b8cc3364e5,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,12,f14c09b46bf6489c9828747d174a6998,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,13,8e2b7104036648f9b6b2cac6c31d36ab,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,14,82ceb9fbc0904f668ac0ce748bbfab1c,4096,False,False,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,15,adf35ed6750f4e37895710fdd194d92a,4096,False,True,True,False
aime_1984_p1__training-A__gpt-5.6-luna__seed0,16,16a80478c255402c9d888d73046f660b,4096,False,True,True,False
