name,theorem,replicate,verified,platform_failed,actual_dollars,qualified
aime_1984_p1__selection-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,aime_1984_p1,0,False,False,0.032781779999999996,False
aime_1984_p1__selection-xhigh-3bfe5109dc462e8c__gpt-5.6-luna__seed0,aime_1984_p1,0,False,False,0.02691505999999999,False
aime_1984_p1__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,aime_1984_p1,0,True,False,0.019002019999999998,True
aime_1988_p3__selection-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,aime_1988_p3,0,True,False,0.039468159999999995,True
aime_1988_p3__selection-xhigh-3bfe5109dc462e8c__gpt-5.6-luna__seed0,aime_1988_p3,0,False,False,0.027171760000000007,False
aime_1988_p3__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,aime_1988_p3,0,False,False,0.027636859999999996,False
aime_1988_p8__selection-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,aime_1988_p8,0,True,False,0.011352979999999999,True
aime_1988_p8__selection-xhigh-3bfe5109dc462e8c__gpt-5.6-luna__seed0,aime_1988_p8,0,True,False,0.01087172,True
aime_1988_p8__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,aime_1988_p8,0,True,False,0.00330978,True
aime_1990_p4__selection-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,aime_1990_p4,0,True,False,0.0077706400000000005,True
aime_1990_p4__selection-xhigh-3bfe5109dc462e8c__gpt-5.6-luna__seed0,aime_1990_p4,0,False,False,0.028588199999999994,False
aime_1990_p4__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,aime_1990_p4,0,True,False,0.01051352,True
algebra_amgm_sum1toneqn_prod1tonleq1__prover-high-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,0,False,False,0.026292239999999998,False
algebra_amgm_sum1toneqn_prod1tonleq1__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,0,False,False,0.032757680000000004,False
algebra_amgm_sum1toneqn_prod1tonleq1__prover-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,0,False,False,0.040076360000000005,False
algebra_amgm_sum1toneqn_prod1tonleq1__prover-xhigh-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,False,0.022972339999999997,True
amc12_2000_p1__selection-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12_2000_p1,0,False,False,0.0385016,False
amc12_2000_p1__selection-xhigh-3bfe5109dc462e8c__gpt-5.6-luna__seed0,amc12_2000_p1,0,True,False,0.019349179999999997,True
amc12_2000_p1__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,amc12_2000_p1,0,False,False,0.04416522,False
amc12_2000_p6__selection-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12_2000_p6,0,True,False,0.011517859999999998,True
amc12_2000_p6__selection-xhigh-3bfe5109dc462e8c__gpt-5.6-luna__seed0,amc12_2000_p6,0,True,False,0.02558524,True
amc12_2000_p6__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,amc12_2000_p6,0,True,False,0.0134501,True
amc12a_2002_p13__prover-high-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12a_2002_p13,0,True,False,0.024471899999999998,True
amc12a_2002_p13__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12a_2002_p13,0,False,False,0.03717918,False
amc12a_2002_p13__prover-medium-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12a_2002_p13,0,True,False,0.02622858,True
amc12a_2002_p13__prover-xhigh-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12a_2002_p13,0,True,False,0.015000659999999997,True
