phase,arm,theorem,seed,solved,cost,failed,qualified
training,reflector-medium,aime_1984_p1,0,False,0.027257959999999998,False,False
training,reflector-medium,aime_1988_p3,0,False,0.03349946,False,False
training,reflector-medium,aime_1988_p8,0,True,0.01268456,False,True
training,reflector-medium,aime_1990_p4,0,True,0.020276819999999997,False,True
training,reflector-medium,algebra_amgm_sum1toneqn_prod1tonleq1,0,False,0.02439776,False,False
training,reflector-medium,amc12_2000_p1,0,False,0.03818106,False,False
training,reflector-medium,amc12_2000_p6,0,True,0.022978699999999994,False,True
training,reflector-medium,amc12a_2002_p13,0,True,0.01524084,False,True
training,reflector-medium,amc12a_2003_p1,0,True,0.02204296,False,True
training,reflector-medium,amc12a_2013_p7,0,True,0.03980654000000001,False,True
training,reflector-medium,amc12a_2016_p2,0,True,0.014198760000000001,False,True
training,reflector-medium,amc12a_2017_p7,0,True,0.013252139999999999,False,True
training,reflector-medium,amc12a_2020_p13,0,False,0.027977400000000003,False,False
training,reflector-medium,amc12b_2002_p11,0,False,0.032473539999999995,False,False
training,reflector-medium,amc12b_2003_p17,0,True,0.00514624,False,True
training,reflector-medium,amc12b_2004_p3,0,False,0.02605432,False,False
training,reflector-medium,imo_1963_p5,0,True,0.031592140000000005,False,True
training,reflector-medium,imo_1967_p3,0,False,0.0240168,False,False
training,reflector-medium,imo_1968_p5_1,0,True,0.020031260000000002,False,True
training,reflector-medium,imo_1977_p6,0,True,0.02924664,False,True
training,reflector-medium,imo_1983_p6,0,False,0.03300446,False,False
training,reflector-medium,induction_pord1p1on2powklt5on2,0,False,0.035426019999999996,False,False
training,reflector-medium,mathd_algebra_185,0,False,0.02511204,False,False
training,reflector-medium,mathd_algebra_206,0,True,0.00531468,False,True
training,reflector-medium,mathd_algebra_224,0,False,0.024784439999999998,False,False
training,reflector-medium,mathd_algebra_247,0,True,0.00413286,False,True
training,reflector-medium,mathd_algebra_28,0,True,0.00385932,False,True
training,reflector-medium,mathd_algebra_323,0,True,0.0132847,False,True
training,reflector-medium,mathd_algebra_37,0,True,0.00046824,False,True
training,reflector-medium,mathd_algebra_410,0,True,0.0009399599999999999,False,True
training,reflector-medium,mathd_algebra_43,0,True,0.0009591599999999999,False,True
training,reflector-medium,mathd_numbertheory_221,0,False,0.02526584,False,False
training,reflector-medium,mathd_numbertheory_301,0,True,0.0015045599999999998,False,True
training,reflector-medium,mathd_numbertheory_326,0,True,0.00075956,False,True
training,reflector-medium,mathd_numbertheory_35,0,True,0.00054716,False,True
training,reflector-medium,mathd_numbertheory_403,0,True,0.0007714199999999999,False,True
training,reflector-medium,mathd_numbertheory_42,0,True,0.00196104,False,True
training,reflector-medium,mathd_numbertheory_458,0,True,0.0031495599999999996,False,True
training,reflector-medium,mathd_numbertheory_48,0,True,0.005260259999999999,False,True
training,reflector-medium,mathd_numbertheory_629,0,False,0.026660099999999996,False,False
training,reflector-xhigh,aime_1984_p1,0,True,0.02118842,False,True
training,reflector-xhigh,aime_1988_p3,0,False,0.02330996,False,False
training,reflector-xhigh,aime_1988_p8,0,True,0.0089609,False,True
training,reflector-xhigh,aime_1990_p4,0,False,0.02644032,False,False
training,reflector-xhigh,algebra_amgm_sum1toneqn_prod1tonleq1,0,False,0.02389218,False,False
training,reflector-xhigh,amc12_2000_p1,0,False,0.03914324,False,False
training,reflector-xhigh,amc12_2000_p6,0,True,0.01065386,False,True
training,reflector-xhigh,amc12a_2002_p13,0,True,0.0163734,False,True
training,reflector-xhigh,amc12a_2003_p1,0,True,0.0033796399999999997,False,True
training,reflector-xhigh,amc12a_2013_p7,0,True,0.00241752,False,True
training,reflector-xhigh,amc12a_2016_p2,0,True,0.01356962,False,True
training,reflector-xhigh,amc12a_2017_p7,0,True,0.015257179999999999,False,True
training,reflector-xhigh,amc12a_2020_p13,0,False,0.026764760000000005,False,False
training,reflector-xhigh,amc12b_2002_p11,0,False,0.02666944,False,False
training,reflector-xhigh,amc12b_2003_p17,0,True,0.0036638200000000004,False,True
training,reflector-xhigh,amc12b_2004_p3,0,False,0.027038339999999994,False,False
training,reflector-xhigh,imo_1963_p5,0,True,0.023277379999999993,False,True
training,reflector-xhigh,imo_1967_p3,0,False,0.023928619999999998,False,False
training,reflector-xhigh,imo_1968_p5_1,0,True,0.0169969,False,True
training,reflector-xhigh,imo_1977_p6,0,False,0.02763814,False,False
training,reflector-xhigh,imo_1983_p6,0,True,0.029914959999999997,False,True
training,reflector-xhigh,induction_pord1p1on2powklt5on2,0,False,0.033074099999999995,False,False
training,reflector-xhigh,mathd_algebra_185,0,False,0.031277339999999994,False,False
training,reflector-xhigh,mathd_algebra_206,0,True,0.00411892,False,True
training,reflector-xhigh,mathd_algebra_224,0,False,0.024499959999999998,False,False
training,reflector-xhigh,mathd_algebra_247,0,True,0.004773,False,True
training,reflector-xhigh,mathd_algebra_28,0,True,0.00289464,False,True
training,reflector-xhigh,mathd_algebra_323,0,True,0.00813184,False,True
