archive,arm,playbook,rendering,injection,theorem,seed,model,cap,requests_allowed,source,status,raw_solved,qualified_solved,cost_usd,cost_basis,input_tokens,cached_input_tokens,output_tokens,num_completions
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,algebra_2complexrootspoly_xsqp49eqxp7itxpn7i,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/algebra_2complexrootspoly_xsqp49eqxp7itxpn7i__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00568632,2026-09-12 token repricing,110076,103776,1959,13
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,algebra_2rootsintpoly_am10tap11eqasqpam110,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/algebra_2rootsintpoly_am10tap11eqasqpam110__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00035696,2026-09-12 token repricing,5674,4548,34,1
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,algebra_2rootspoly_apatapbeq2asqp2ab,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/algebra_2rootspoly_apatapbeq2asqp2ab__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.0011901999999999998,2026-09-12 token repricing,5699,0,42,1
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,algebra_3rootspoly_amdtamctambeqnasqmbpctapcbtdpasqmbpctapcbta,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/algebra_3rootspoly_amdtamctambeqnasqmbpctapcbtdpasqmbpctapcbta__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00039576,2026-09-12 token repricing,5862,4548,35,1
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,algebra_amgm_prod1toneq1_sum1tongeqn,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/algebra_amgm_prod1toneq1_sum1tongeqn__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,False,False,0.021910199999999998,2026-09-12 token repricing,470829,444680,6489,32
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,induction_sum2kp1npqsqm1,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/induction_sum2kp1npqsqm1__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.0007875199999999999,2026-09-12 token repricing,17614,16176,147,3
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,induction_sum_1oktkp1,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/induction_sum_1oktkp1__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00511548,2026-09-12 token repricing,61452,55734,2381,8
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,numbertheory_aneqprodakp4_anmsqrtanp1eq2,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/numbertheory_aneqprodakp4_anmsqrtanp1eq2__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00714012,2026-09-12 token repricing,44379,36396,4013,5
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,numbertheory_nckeqnm1ckpnm1ckm1,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/numbertheory_nckeqnm1ckpnm1ckm1__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,False,False,0.03029426,2026-09-12 token repricing,478174,452023,13353,32
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,numbertheory_prmdvsneqnsqmodpeq0,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/numbertheory_prmdvsneqnsqmodpeq0__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.0048153,2026-09-12 token repricing,48564,36675,1420,7
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,mathd_algebra_101,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/mathd_algebra_101__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.0008841599999999999,2026-09-12 token repricing,5724,4548,465,1
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,mathd_algebra_104,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/mathd_algebra_104__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.0006187599999999999,2026-09-12 token repricing,5711,4548,246,1
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,mathd_numbertheory_109,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/mathd_numbertheory_109__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.0008929599999999999,2026-09-12 token repricing,11813,10358,329,2
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,mathd_numbertheory_110,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/mathd_numbertheory_110__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.01007956,2026-09-12 token repricing,122537,114108,5093,13
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,amc12_2000_p11,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/amc12_2000_p11__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00104668,2026-09-12 token repricing,11822,10374,458,2
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,amc12_2000_p15,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/amc12_2000_p15__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,False,False,0.0500143,2026-09-12 token repricing,636785,579615,22490,28
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,aimeII_2001_p3,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/aimeII_2001_p3__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.01126728,2026-09-12 token repricing,64728,53084,6564,6
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,aimeII_2020_p6,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/aimeII_2020_p6__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,False,False,0.05112344,2026-09-12 token repricing,618316,576032,25955,21
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,imo_1961_p1,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/imo_1961_p1__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,True,True,0.00244898,2026-09-12 token repricing,28954,25959,1109,4
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,imo_1962_p4,0,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/imo_1962_p4__ace-30ffc40f-core-medium__gpt-5.6-luna__seed0/result.yaml,done,False,False,0.0403259,2026-09-12 token repricing,609178,576125,18494,32
ace_validation_agentic,ace-30ffc40f-core-medium,experiments/playbooks/ace_v1.yaml,1,full,algebra_2complexrootspoly_xsqp49eqxp7itxpn7i,1,gpt-5.6-luna,0.05,32,experiments/output/ace_validation_agentic/configs/algebra_2complexrootspoly_xsqp49eqxp7itxpn7i__ace-30ffc40f-core-medium__gpt-5.6-luna__seed1/result.yaml,done,True,True,0.007665479999999999,2026-09-12 token repricing,108156,101794,3631,12
