path,theorem,partition,strategy,status,category,checks,cost,cost_source,unknown_charge,administrative_censoring,evidence
experiments/output/ace_economy_refinement_20260916/final05/configs/validation__agentic_reset_compact__induction_prod1p1onk3le3m1onn__seed1,induction_prod1p1onk3le3m1onn,validation,prove_theorem_grounded,done,unproved_prerequisite,14,0.052260919999999995,dated billing receipts,False,False,audit/cells/00001df915248f6b4ef9387b21514f8a0457cced28b05f58a7fd129013dcc24b.json
experiments/output/ace_polish_validation/configs/imo_1964_p2__candidate-r64__gpt-5.6-luna__seed0,imo_1964_p2,validation,prove_theorem_grounded,done,syntax,16,0.04756526,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/0003172da73d433d2be032e0cefd206ae6fbf71adbc8b7d649c105ed75bed593.json
experiments/output/ace_attribution_20260912/swaps/configs/mathd_algebra_282__luna-terra-book-medium__gpt-5.6-luna__seed0,mathd_algebra_282,validation,prove_theorem_grounded,done,incomplete_proof,6,0.037860279999999996,dated billing receipts,False,False,audit/cells/000e8af610343ca5bbac571168cfb290567dc45a1997fc756fe1e37230998841.json
experiments/output/ace_mechanisms_20260910/training/configs/imo_1983_p6__training-R__gpt-5.6-luna__seed0,imo_1983_p6,train,prove_theorem_grounded,done,arithmetic_or_search,6,0.01533414,dated billing receipts,False,False,audit/cells/00133cac8f45bf9971f2944546fce15248cd3416062794e50fbd2bb721cd893a.json
experiments/output/ace_x_validation_ace_x5_offline_rv2_agentic/configs/amc12a_2020_p21__ace-fc7b45d4-core-medium__gpt-5.6-luna__seed1,amc12a_2020_p21,validation,prove_theorem_ace,done,incomplete_proof,23,0.10120430000000001,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/0024ea36f68ded593c4e7d5162f1441a121abfe72bcb5a1f091214b53f219107.json
experiments/output/ace_attribution_20260912/swaps/configs/amc12a_2019_p21__luna-terra-book-medium__gpt-5.6-luna__seed0,amc12a_2019_p21,validation,prove_theorem_grounded,done,syntax,6,0.03550668,dated billing receipts,False,False,audit/cells/002974f8181ecdec1fc5f2a9c7b35dc8cae8005eca34b96b9d4ca7ead0a3344b.json
experiments/output/ace_models_20260910/proof/configs/amc12b_2002_p11__prover-low-1e4aec7dbbe80e7a__gpt-5.6-luna__seed0,amc12b_2002_p11,train,prove_theorem_grounded,done,syntax,10,0.037374779999999996,dated billing receipts,False,False,audit/cells/002b24bc2679720f8392bdfb372f3c9b45b39c8c0cbc541a87276e555c0f131d.json
experiments/output/ace_economy_20260916/validation/configs/validation__ace__aime_1991_p6__seed0,aime_1991_p6,validation,prove_theorem_grounded,done,incomplete_proof,10,0.02759944,dated billing receipts,False,False,audit/cells/002f4555bd96c3eda2f01ff858243f8da84fe146bb7516a88fd99a1e59a2c9ee.json
experiments/output/x_train_agentic/configs/imo_1967_p3__core-medium__gpt-5.6-luna__seed0,imo_1967_p3,train,prove_theorem_agentic,done,incomplete_proof,20,0.03907522000000001,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/004a3d2386fa343584d41beec75bdab2aedb0b0edd83e94e7074de06f789adca.json
experiments/output/ace_online_x3-online-s1_agentic/configs/amc12a_2019_p21__ace-fea46d5a-core-medium__gpt-5.6-luna__seed1,amc12a_2019_p21,validation,prove_theorem_ace,done,incomplete_proof,15,0.06958688,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/006fb3d87604c864f9874b22e63f25e8284fd6034d0f6bc1e84c03212d7419dd.json
experiments/output/ace_economy_refinement_20260916/final14/configs/validation__agentic_compact__amc12_2001_p21__seed0,amc12_2001_p21,validation,prove_theorem_grounded,done,other_or_unobserved,10,0.023797099999999998,dated billing receipts,False,False,audit/cells/009f892978bfe2e8aafd07b030c1e167df36075a8673dd27ad7d9e8224887fed.json
experiments/output/ace_adaptation_x-offline-e3/configs/step97_generator_algebra_amgm_sum1toneqn_prod1tonleq1,algebra_amgm_sum1toneqn_prod1tonleq1,train,prove_theorem_ace,done,incomplete_proof,18,0.027246820000000005,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/00a5e4380641df414d81dd53c82c3a04185e913e62a6d76a76ce970f035a034b.json
experiments/output/ace_sanitized_20260917/validation/configs/validation__agentic_coverage__proof__mathd_numbertheory_303__seed0,mathd_numbertheory_303,validation,prove_theorem_grounded,done,unproved_prerequisite,11,0.06768464,dated billing receipts,False,False,audit/cells/00a8b41a6237e534d3828db4998644bc6780f08f50c77eb5de2cd6e7dcec6168.json
experiments/output/x_validation_agentic/configs/aime_1991_p6__core-medium__gpt-5.6-luna__seed1,aime_1991_p6,validation,prove_theorem_agentic,done,arithmetic_or_search,24,0.04971588,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/00ac0b93732a26a80cbfabeb542db84a2547f7f8dd8cfe7d12728f4a33e2cdc5.json
experiments/output/ace_x_validation_ace_x5_offline_rv3_agentic/configs/aime_1991_p9__ace-fc7b45d4-core-medium__gpt-5.6-luna__seed0,aime_1991_p9,validation,prove_theorem_ace,done,unproved_prerequisite,15,0.03546724,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/00def046e1fde5fe1613c682b542eeb3a9f46e9294d9c446317a946c04b74b72.json
experiments/output/ace_online_x-online-s1_agentic/configs/mathd_numbertheory_43__ace-2eccf559-core-medium__gpt-5.6-luna__seed1,mathd_numbertheory_43,validation,prove_theorem_ace,done,syntax,20,0.05407988,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/011b706ed5cfe501c049eca77c3b9db44a901ee78ec3638446030b7a18fb7317.json
