receipt,cell,model,created_utc,input,cached,output,reasoning,provider_status,input_bound,charged,repriced,uncached_cost
895444137e3444c085ed3601da518d83,learning__schema_candidate__schema__aime_1988_p3__seed0,gpt-5.6-luna,2026-09-17T09:48:31.889472+00:00,11292,0,398,291,completed,73120,0.0027359999999999997,0.0027359999999999997,0.0027359999999999997
a521598c80db411ead601a2e71f5fbdb,learning__schema_candidate__schema__amc12_2000_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:31.909397+00:00,10739,0,695,176,completed,71779,0.0029818,0.0029818,0.0029818
991f711557f94015a38d9133025013a2,learning__schema_candidate__schema__amc12b_2003_p17__seed0,gpt-5.6-luna,2026-09-17T09:48:31.923647+00:00,10836,0,877,330,completed,71620,0.0032195999999999995,0.0032195999999999995,0.0032195999999999995
e6bfe0bab9b64f3f98afcc0a63d35dae,learning__schema_control__schema__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-17T09:48:31.944355+00:00,13918,0,259,96,completed,76567,0.0030943999999999998,0.0030943999999999998,0.0030943999999999998
413464e4d84e4296905754f33b9a10e6,learning__schema_candidate__schema__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-17T09:48:31.965174+00:00,14204,0,245,120,completed,78089,0.0031347999999999997,0.0031347999999999997,0.0031347999999999997
422675cf0a2847fe88c3a08e2b95a215,learning__schema_control__schema__amc12_2000_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:31.972655+00:00,10453,0,783,457,completed,70257,0.0030302,0.0030302,0.0030302
7d1e52cf38b942eb8e46b09651782439,learning__schema_control__schema__aime_1988_p3__seed0,gpt-5.6-luna,2026-09-17T09:48:31.999182+00:00,11006,0,215,87,completed,71598,0.0024592,0.0024592,0.0024592
7083b0e544f1461aa635f6eab2a0ddec,learning__schema_control__schema__amc12b_2003_p17__seed0,gpt-5.6-luna,2026-09-17T09:48:32.025427+00:00,10550,0,591,302,completed,70098,0.0028192,0.0028192,0.0028192
45df8f83a1e34ba7a2be63600c434e4f,learning__schema_control__schema__imo_1983_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:52.061070+00:00,11694,0,604,480,completed,72461,0.0030635999999999997,0.0030635999999999997,0.0030635999999999997
05bfa5ebabb5444aa7afe2daa58bc1d6,learning__schema_candidate__schema__amc12a_2020_p13__seed0,gpt-5.6-luna,2026-09-17T09:48:52.089474+00:00,11765,0,366,151,completed,74232,0.0027922,0.0027922,0.0027922
44edea0f3cef4c0293e895f7c230e457,learning__schema_control__schema__amc12a_2020_p13__seed0,gpt-5.6-luna,2026-09-17T09:48:52.102582+00:00,11479,0,440,220,completed,72710,0.0028237999999999996,0.0028237999999999996,0.0028237999999999996
4ad8ad14358a491ba2e467f33945e350,learning__schema_candidate__schema__imo_1983_p6__seed0,gpt-5.6-luna,2026-09-17T09:48:52.116248+00:00,11980,0,665,427,completed,73983,0.003194,0.003194,0.003194
421b8dc9a2384f34ae2ce91ca59cf3d0,learning__schema_candidate__schema__induction_pord1p1on2powklt5on2__seed0,gpt-5.6-luna,2026-09-17T09:48:52.126819+00:00,10665,0,548,420,completed,71767,0.0027906,0.0027906,0.0027906
255addddb27c4ccb9506721d444e7657,learning__schema_control__schema__mathd_algebra_206__seed0,gpt-5.6-luna,2026-09-17T09:48:52.136250+00:00,10322,0,325,190,completed,69929,0.0024544000000000002,0.0024544000000000002,0.0024544000000000002
cee3b607652047aeb64d241b0e927874,learning__schema_control__schema__induction_pord1p1on2powklt5on2__seed0,gpt-5.6-luna,2026-09-17T09:48:52.155433+00:00,10379,0,665,516,completed,70245,0.0028738,0.0028738,0.0028738
d097b8dabac64feab0a5fdf2e96ff334,learning__schema_candidate__schema__mathd_algebra_206__seed0,gpt-5.6-luna,2026-09-17T09:48:52.168632+00:00,10608,0,423,217,completed,71451,0.0026292,0.0026292,0.0026292
290549ad20ed4b1d8637ecc0b91e6f34,learning__schema_control__schema__mathd_algebra_28__seed0,gpt-5.6-luna,2026-09-17T09:49:09.481462+00:00,10189,0,441,305,completed,69239,0.002567,0.002567,0.002567
b7e0c83a0f124b7aa4c5e2348a6dc7ce,learning__schema_candidate__schema__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,gpt-5.6-luna,2026-09-17T09:49:09.510216+00:00,9587,0,238,116,completed,68121,0.002203,0.002203,0.002203
fdd86ced677f468ba594261345420c87,learning__schema_candidate__schema__amc12a_2003_p1__seed0,gpt-5.6-luna,2026-09-17T09:49:09.524421+00:00,10341,0,207,100,completed,70841,0.0023166000000000003,0.0023166000000000003,0.0023166000000000003
971a4e6ad6ec459095ceb656ffe99761,learning__schema_candidate__schema__aime_1988_p8__seed0,gpt-5.6-luna,2026-09-17T09:49:09.531884+00:00,10195,0,374,166,completed,70308,0.0024878,0.0024878,0.0024878
2c123bdd367944399ad89b44e5f4b970,learning__schema_control__schema__amc12a_2003_p1__seed0,gpt-5.6-luna,2026-09-17T09:49:09.547541+00:00,10055,0,348,237,completed,69319,0.0024285999999999995,0.0024285999999999995,0.0024285999999999995
72a9fafaf546409e859c5a7ebb0824ed,learning__schema_control__schema__aime_1988_p8__seed0,gpt-5.6-luna,2026-09-17T09:49:09.557154+00:00,9909,0,415,215,completed,68786,0.0024798,0.0024798,0.0024798
9764d460d41a421499b5c99f71ddc4a7,learning__schema_candidate__schema__mathd_algebra_28__seed0,gpt-5.6-luna,2026-09-17T09:49:09.571294+00:00,10475,0,381,116,completed,70761,0.0025522,0.0025522,0.0025522
65a3608a11cc40daa181d602932cf669,learning__schema_control__schema__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,gpt-5.6-luna,2026-09-17T09:49:09.586946+00:00,9301,0,331,117,completed,66599,0.0022574,0.0022574,0.0022574
54554fde08ee4e11928bd2216e5af0b3,learning__review_candidate__review__batch1_review0__seed0,gpt-5.6-luna,2026-09-17T09:49:22.442238+00:00,16884,0,179,96,completed,87184,0.0035915999999999995,0.0035915999999999995,0.0035915999999999995
