id,stage,model,pid,created,reserved,charged,status,usage,cell
3f73627563b0425c967e35dde183246c,training,gpt-5.6-luna,186377,1789301075.59914,0.0164062,0.00083244,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 57455, ""input_tokens"": 6567, ""input_tokens_details"": {""cache_write_tokens"": 1792, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 315, ""output_tokens_details"": {""reasoning_tokens"": 238}, ""response_id"": ""resp_06d00dba5cd738b6006aa6915545f487d2b31b02549d6c34d1"", ""status"": ""completed"", ""total_tokens"": 6882}",imo_1967_p3__training-A__gpt-5.6-luna__seed0
dab115156cb5473297250b1c8ff1391c,training,gpt-5.6-luna,186395,1789301075.626822,0.016162999999999997,0.00051064,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56239, ""input_tokens"": 6044, ""input_tokens_details"": {""cache_write_tokens"": 1269, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 134, ""output_tokens_details"": {""reasoning_tokens"": 50}, ""response_id"": ""resp_05e55dd57fed927d006aa69155562c87d291aa5dc7895bbeb9"", ""status"": ""completed"", ""total_tokens"": 6178}",mathd_algebra_185__training-A__gpt-5.6-luna__seed0
f0c69e40c559404284efbdc3dd4dc28c,training,gpt-5.6-luna,186379,1789301075.6396065,0.016262,0.0007610399999999999,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56734, ""input_tokens"": 6228, ""input_tokens_details"": {""cache_write_tokens"": 1453, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 312, ""output_tokens_details"": {""reasoning_tokens"": 219}, ""response_id"": ""resp_0fdf9a29bbd18d78006aa6915547b087d2af20f355cb0206dc"", ""status"": ""completed"", ""total_tokens"": 6540}",aime_1988_p3__training-A__gpt-5.6-luna__seed0
4378c2f21d9341698b234716baafbf09,training,gpt-5.6-luna,186406,1789301075.6521575,0.0162264,0.00114864,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56556, ""input_tokens"": 6180, ""input_tokens_details"": {""cache_write_tokens"": 1405, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 643, ""output_tokens_details"": {""reasoning_tokens"": 554}, ""response_id"": ""resp_08b23e39acc0c010006aa691553c2087d2942c8d0f39ff2a77"", ""status"": ""completed"", ""total_tokens"": 6823}",aime_1984_p1__training-A__gpt-5.6-luna__seed0
05d9c7cf2e8049c5a721f088e03fe9c5,training,gpt-5.6-luna,186391,1789301075.665052,0.0162496,0.00055664,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56672, ""input_tokens"": 6196, ""input_tokens_details"": {""cache_write_tokens"": 1421, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 147, ""output_tokens_details"": {""reasoning_tokens"": 54}, ""response_id"": ""resp_059e465cb083e1c8006aa6915587d887d2b4e59cb913ceca3b"", ""status"": ""completed"", ""total_tokens"": 6343}",algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0
8929c5a0918e4a6c8c72adc4e8f8bb65,training,gpt-5.6-luna,186435,1789301075.6776304,0.0162138,0.00050924,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56493, ""input_tokens"": 6061, ""input_tokens_details"": {""cache_write_tokens"": 1286, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 130, ""output_tokens_details"": {""reasoning_tokens"": 61}, ""response_id"": ""resp_0eb1ee5803bf913b006aa69155584c87d2972e84948b4d4cd1"", ""status"": ""completed"", ""total_tokens"": 6191}",mathd_algebra_224__training-A__gpt-5.6-luna__seed0
c44ecde6433f437b8902c4c5b79c22ea,training,gpt-5.6-luna,186467,1789301075.690175,0.0162824,0.00088644,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56836, ""input_tokens"": 6315, ""input_tokens_details"": {""cache_write_tokens"": 1540, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 402, ""output_tokens_details"": {""reasoning_tokens"": 311}, ""response_id"": ""resp_0c11ab2640594523006aa69155470887d2a69a12dcbf6afca2"", ""status"": ""completed"", ""total_tokens"": 6717}",amc12a_2020_p13__training-A__gpt-5.6-luna__seed0
e9f7c6f4965a46f894c2f2724f16ab2c,training,gpt-5.6-luna,186403,1789301075.7045026,0.0161658,0.00050864,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56253, ""input_tokens"": 6100, ""input_tokens_details"": {""cache_write_tokens"": 1325, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 123, ""output_tokens_details"": {""reasoning_tokens"": 52}, ""response_id"": ""resp_0c7258079eeaff1d006aa6915573c087d2a491aef56b833412"", ""status"": ""completed"", ""total_tokens"": 6223}",imo_1963_p5__training-A__gpt-5.6-luna__seed0
d1be2601557844f393befb6dd376809e,training,gpt-5.6-luna,186463,1789301075.7175145,0.0162012,0.00060844,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56430, ""input_tokens"": 6131, ""input_tokens_details"": {""cache_write_tokens"": 1356, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 201, ""output_tokens_details"": {""reasoning_tokens"": 120}, ""response_id"": ""resp_0b3a8234c00c070c006aa691554c6887d29aeb5a68278e8285"", ""status"": ""completed"", ""total_tokens"": 6332}",imo_1983_p6__training-A__gpt-5.6-luna__seed0
b7c8d59224f245e1ad631da1abe65e61,training,gpt-5.6-luna,186422,1789301075.7326677,0.016174,0.00094164,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56294, ""input_tokens"": 6111, ""input_tokens_details"": {""cache_write_tokens"": 1336, ""cached_tokens"": 4772}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 482, ""output_tokens_details"": {""reasoning_tokens"": 403}, ""response_id"": ""resp_04b31d3d9d34d661006aa69155584487d29d7e12add640f71d"", ""status"": ""completed"", ""total_tokens"": 6593}",imo_1968_p5_1__training-A__gpt-5.6-luna__seed0
