bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,medium,low,9,3,12,0,True,0.2,True,5,15958,13952,750,0.011751499999999998
002,gpt-5.4,gpt-5.4-mini,medium,low,11,3,12,0,True,0.2,True,6,19848,17792,1743,0.022223999999999997
003,gpt-5.4,gpt-5.4-mini,medium,low,41,3,12,0,True,0.2,False,21,86807,64640,17624,0.21202875
004,gpt-5.4,gpt-5.4-mini,medium,low,27,3,12,0,True,0.2,False,14,55763,41856,19854,0.22115574999999998
005,gpt-5.4,gpt-5.4-mini,medium,low,11,3,12,0,True,0.2,True,6,20066,17280,1777,0.023412499999999996
006,gpt-5.4,gpt-5.4-mini,medium,low,11,3,12,0,True,0.2,True,6,20162,17280,1683,0.0225925
007,gpt-5.4,gpt-5.4-mini,medium,low,13,3,12,0,True,0.2,True,7,24065,20096,1871,0.026183249999999998
008,gpt-5.4,gpt-5.4-mini,medium,low,43,3,12,0,True,0.2,False,22,98054,79104,16772,0.20129549999999993
009,gpt-5.4,gpt-5.4-mini,medium,low,37,3,12,0,True,0.2,False,19,80650,67200,18435,0.2095625
010,gpt-5.4,gpt-5.4-mini,medium,low,15,3,12,0,True,0.2,True,8,27784,22400,1865,0.02818
011,gpt-5.4,gpt-5.4-mini,medium,low,3,3,12,0,True,0.2,True,2,4887,4480,573,0.006798749999999999
012,gpt-5.4,gpt-5.4-mini,medium,low,19,3,12,0,True,0.2,True,10,36477,28544,4131,0.05479425
013,gpt-5.4,gpt-5.4-mini,medium,low,21,3,12,0,True,0.2,True,11,41286,30848,7477,0.09167349999999999
014,gpt-5.4,gpt-5.4-mini,medium,low,3,3,12,0,True,0.2,True,2,4852,3328,344,0.005760999999999999
015,gpt-5.4,gpt-5.4-mini,medium,low,41,3,12,0,True,0.2,False,21,91694,67584,17244,0.21102550000000003
016,gpt-5.4,gpt-5.4-mini,medium,low,39,3,12,0,True,0.2,False,20,80288,58240,17291,0.20775
017,gpt-5.4,gpt-5.4-mini,medium,low,3,3,12,0,True,0.2,True,2,4882,2816,413,0.0070645
018,gpt-5.4,gpt-5.4-mini,medium,low,39,3,12,0,True,0.2,False,20,94265,77696,17986,0.21028324999999998
019,gpt-5.4,gpt-5.4-mini,medium,low,87,3,12,0,True,0.2,False,44,196407,173952,15496,0.20477275
020,gpt-5.4,gpt-5.4-mini,medium,low,39,3,12,0,True,0.2,False,20,87530,61696,17129,0.2112945
021,gpt-5.4,gpt-5.4-mini,medium,low,41,3,12,0,True,0.2,False,21,92843,66688,16766,0.20868975
022,gpt-5.4,gpt-5.4-mini,medium,low,47,3,12,0,True,0.2,False,24,107875,76160,15806,0.20722374999999998
