bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,max_dollar_budget,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2655,0,1067,0.022642500000000003
002,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2655,0,1273,0.025732500000000002
003,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2654,2304,3879,0.059636
004,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2653,2304,2970,0.0459985
005,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2655,2304,2341,0.036568500000000004
006,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2655,2304,2170,0.034003500000000006
007,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2655,2304,2464,0.0384135
008,gpt-5.4,1.0,4,10,0,0.5,medium,True,2,6530,4608,10645,0.165632
009,gpt-5.4,1.0,4,10,0,0.5,medium,True,2,6743,4608,12251,0.1902545
010,gpt-5.4,1.0,4,10,0,0.5,medium,True,2,5884,4608,4428,0.070762
011,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2661,2304,608,0.0105885
012,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2664,2304,4676,0.07161600000000001
013,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2664,2304,2595,0.040401
014,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2658,2304,298,0.0059310000000000005
015,gpt-5.4,1.0,6,10,0,0.5,medium,True,3,10319,6912,11150,0.17749549999999997
016,gpt-5.4,1.0,4,10,0,0.5,medium,True,2,5641,4608,5417,0.0849895
017,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2660,2304,585,0.010241
018,gpt-5.4,1.0,6,10,0,0.5,medium,False,3,12645,8448,36216,0.5558445000000001
019,gpt-5.4,1.0,4,10,0,0.5,medium,False,2,7064,4608,38257,0.581147
020,gpt-5.4,1.0,8,10,0,0.5,medium,False,4,17953,12800,39445,0.6077575000000001
021,gpt-5.4,1.0,2,10,0,0.5,medium,True,1,2662,2304,12183,0.184216
022,gpt-5.4,1.0,4,10,0,0.5,medium,True,2,6360,4608,12573,0.194127
