id,stage,cell,model,created,reserved,charged,status,usage
48ca7fc923714045b3913bd8b4e3085a,training,aime_1990_p4__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905399.3372393,0.0492852,0.0015236,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 49818, ""input_tokens"": 6316, ""input_tokens_details"": {""cache_write_tokens"": 6313, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 217, ""output_tokens_details"": {""reasoning_tokens"": 96}, ""response_id"": ""resp_0f0560d9443d11b2006aa087b9891887d2a6329da3dcee4b64"", ""status"": ""completed"", ""total_tokens"": 6533}"
091d226a35a84d9e9a37c9ec2814eec7,training,aime_1988_p3__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905399.3593087,0.0496844,0.0016664,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 51814, ""input_tokens"": 7042, ""input_tokens_details"": {""cache_write_tokens"": 7039, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 215, ""output_tokens_details"": {""reasoning_tokens"": 76}, ""response_id"": ""resp_0a2655b1ab96a08b006aa087b9289087d2a1f41d16147ba56a"", ""status"": ""completed"", ""total_tokens"": 7257}"
e9296e5772bb458ba3ad5b87d0df883e,training,aime_1984_p1__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905399.3784409,0.049852799999999996,0.0017745999999999999,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 52656, ""input_tokens"": 7487, ""input_tokens_details"": {""cache_write_tokens"": 7484, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 231, ""output_tokens_details"": {""reasoning_tokens"": 95}, ""response_id"": ""resp_0ed2fe52646605c8006aa087b8a46087d2a01754b7a4e0553e"", ""status"": ""completed"", ""total_tokens"": 7718}"
1c48c0f987f443bfa9467d7631ea2fb9,training,amc12_2000_p1__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905400.3913767,0.0497374,0.0015484000000000001,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 52079, ""input_tokens"": 7094, ""input_tokens_details"": {""cache_write_tokens"": 7091, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 108, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""response_id"": ""resp_0fe776f012ef8a21006aa087b8d30487d28ca92cd76c972fc8"", ""status"": ""completed"", ""total_tokens"": 7202}"
c4c86ff1c70a4f0d9490e831c5c90eee,training,amc12_2000_p1__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905402.8654406,0.0468716,0.0006728,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 37750, ""input_tokens"": 1708, ""input_tokens_details"": {""cache_write_tokens"": 1705, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 276, ""output_tokens_details"": {""reasoning_tokens"": 212}, ""response_id"": ""resp_06586b78bc2aa47c006aa087bb424c87d2939cfbbe138f1f3b"", ""status"": ""completed"", ""total_tokens"": 1984}"
42b7cc42d8c0425b96e29f15afba7166,training,aime_1984_p1__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905407.100649,0.0468762,0.0004614,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 37773, ""input_tokens"": 1671, ""input_tokens_details"": {""cache_write_tokens"": 1668, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 106, ""output_tokens_details"": {""reasoning_tokens"": 25}, ""response_id"": ""resp_0b5315b51ed7c572006aa087bf3a3c87d2904673ab3550679c"", ""status"": ""completed"", ""total_tokens"": 1777}"
66d9ac1aaa014f21b770f15d1e545f25,training,amc12_2000_p1__adapt__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905407.9269927,0.0472518,0.0005924,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 39651, ""input_tokens"": 2062, ""input_tokens_details"": {""cache_write_tokens"": 2059, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 150, ""output_tokens_details"": {""reasoning_tokens"": 79}, ""response_id"": ""resp_0b9081d6fd911947006aa087c015c887d29c9b49c091b383a2"", ""status"": ""completed"", ""total_tokens"": 2212}"
a388b4888f8a43168961f48e8a5005e0,training,amc12b_2002_p11__money-off-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905461.931878,0.048963599999999996,0.00039593999999999995,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 48210, ""input_tokens"": 3996, ""input_tokens_details"": {""cache_write_tokens"": 1386, ""cached_tokens"": 2607}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 55, ""output_tokens_details"": {""reasoning_tokens"": 31}, ""response_id"": ""resp_0b72f54ca8235dc1006aa087f6707c87d2aea107c40e4fc4cc"", ""status"": ""completed"", ""total_tokens"": 4051}"
755f2bfe7b7e4911ad5a9349f4f7b713,training,mathd_algebra_224__money-off-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905461.9658272,0.0489292,0.000832,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 48038, ""input_tokens"": 3866, ""input_tokens_details"": {""cache_write_tokens"": 3863, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 49, ""output_tokens_details"": {""reasoning_tokens"": 24}, ""response_id"": ""resp_0d8d92298c57f751006aa087f6718c87d289d7b4e83d47bb8d"", ""status"": ""completed"", ""total_tokens"": 3915}"
b87cadb7e4c14168a12da1bbe50e31b7,training,mathd_algebra_224__money-on-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905461.986029,0.0489292,0.000832,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 48038, ""input_tokens"": 3866, ""input_tokens_details"": {""cache_write_tokens"": 3863, ""cached_tokens"": 0}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 49, ""output_tokens_details"": {""reasoning_tokens"": 24}, ""response_id"": ""resp_024dbf1813159e8e006aa087f6732c87d2b58220dcec554245"", ""status"": ""completed"", ""total_tokens"": 3915}"
ce5a383771d64cb4a212c51a374b3f71,training,amc12b_2002_p11__money-on-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905462.0131617,0.048963599999999996,0.00043193999999999996,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 48210, ""input_tokens"": 3996, ""input_tokens_details"": {""cache_write_tokens"": 1386, ""cached_tokens"": 2607}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 85, ""output_tokens_details"": {""reasoning_tokens"": 60}, ""response_id"": ""resp_07104b18c8395061006aa087f67e3887d2ab21277d52e70350"", ""status"": ""completed"", ""total_tokens"": 4081}"
143f2e7869b64590ae9f0a5bdcb0cc6e,training,mathd_algebra_224__money-on-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905464.0096343,0.0501024,0.00035186,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 53904, ""input_tokens"": 5104, ""input_tokens_details"": {""cache_write_tokens"": 1238, ""cached_tokens"": 3863}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 22, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""response_id"": ""resp_024dbf1813159e8e006aa087f82e6887d292257561811db5be"", ""status"": ""completed"", ""total_tokens"": 5126}"
ba9e5afeb5e24fbaa8e8f36d5b0cfb9f,training,mathd_algebra_224__money-off-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905464.2219217,0.0501024,0.00035186,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 53904, ""input_tokens"": 5104, ""input_tokens_details"": {""cache_write_tokens"": 1238, ""cached_tokens"": 3863}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 22, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""response_id"": ""resp_0d8d92298c57f751006aa087f8581087d28db6d095d0f9a9ec"", ""status"": ""completed"", ""total_tokens"": 5126}"
37d21c0060d847d5b01ad694c22641f7,training,amc12b_2002_p11__money-on-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905464.4304821,0.050195199999999995,0.00046486,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 54368, ""input_tokens"": 5270, ""input_tokens_details"": {""cache_write_tokens"": 1274, ""cached_tokens"": 3993}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 108, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""response_id"": ""resp_07104b18c8395061006aa087f88fec87d2a80a06690771e97b"", ""status"": ""completed"", ""total_tokens"": 5378}"
c7a29a779d4948a78a5b321f7c99b99a,training,mathd_algebra_224__money-off-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905466.3868449,0.0501956,0.00025341999999999997,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 54370, ""input_tokens"": 5216, ""input_tokens_details"": {""cache_write_tokens"": 112, ""cached_tokens"": 5101}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 107, ""output_tokens_details"": {""reasoning_tokens"": 15}, ""response_id"": ""resp_0d8d92298c57f751006aa087fa895087d28cf654bc9b029a2b"", ""status"": ""completed"", ""total_tokens"": 5323}"
e9d7cd7160c146f2b8ab03b67fce2240,training,amc12b_2002_p11__money-on-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905466.9780672,0.0505582,0.00035813999999999996,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 56183, ""input_tokens"": 5781, ""input_tokens_details"": {""cache_write_tokens"": 511, ""cached_tokens"": 5267}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 125, ""output_tokens_details"": {""reasoning_tokens"": 11}, ""response_id"": ""resp_07104b18c8395061006aa087fb1e9c87d2af274bbe438d1737"", ""status"": ""completed"", ""total_tokens"": 5906}"
d6b4b954ea70458c84db612515711e7b,training,mathd_algebra_224__money-on-r64__gpt-5.6-luna__seed0,gpt-5.6-luna,1788905467.6395314,0.0501956,0.00024142,settled,"{""http_timeout_seconds"": 600, ""input_bound"": 54370, ""input_tokens"": 5216, ""input_tokens_details"": {""cache_write_tokens"": 112, ""cached_tokens"": 5101}, ""model"": ""gpt-5.6-luna"", ""output_tokens"": 97, ""output_tokens_details"": {""reasoning_tokens"": 14}, ""response_id"": ""resp_024dbf1813159e8e006aa087fbca0087d280c09827fca7cfde"", ""status"": ""completed"", ""total_tokens"": 5313}"
