label,theorem,seed,path,cell,solved,requests,failed,hashes,legacy,corrected,input,cached,written,output,no_cache_fixed_trace,write_premium
historical_none,imo_1960_p2,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,False,24,False,"{'cache.yaml': 'aeee8f62cf8d7798ef02baed3da648c2ebe76005658161404a1dd035aa81aaac', 'result.yaml': 'c4f6c1187ec3a114c8d41784207874984c94c0b1a3c727115f47e31293c3017a'}",0.0391854,0.0451568,342450,222950,119428,9022,0.0793164,0.0059714
historical_none,aime_1991_p6,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,False,11,False,"{'cache.yaml': '58e1a7976d5872b8ce4d756a70c458cf2aab47cac5bdfe491635bbe743da164a', 'result.yaml': '316bbd6b6c0a17f97e932d5489e1786da73f600e41584f20833a72fb7c6a9a5c'}",0.03157002,0.036662520000000004,210534,108651,101850,7517,0.0511272,0.0050925
historical_none,amc12a_2008_p4,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,True,14,False,"{'cache.yaml': 'efdb7f92fda0ae2ec866311125c8c815342d9aceaba98dbeafc26c774f6259ea', 'result.yaml': 'c6ac874bdda7292ffd1eb43b5cecc1e7b8244ac04eba39e7237dc53874eaff96'}",0.020060619999999998,0.02235732,107807,61831,45934,8024,0.031190199999999998,0.0022967
historical_none,induction_prod1p1onk3le3m1onn,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,True,11,False,"{'cache.yaml': '4753f6be6b4e5b7bfb4fb7dc340e03e6e3bc1900f51cc9e844ebc2b6a46ba5fe', 'result.yaml': 'a7f165f25a3feb11283251355d3a4daf3cc04d9d99b0c6e82820fda4492aa559'}",0.0229819,0.026131799999999997,108176,45145,62998,7894,0.031107999999999997,0.0031498999999999997
historical_none,algebra_others_exirrpowirrrat,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,False,24,False,"{'cache.yaml': '8c8808344533918ef1079f8bf7e13af5c9af6695bec8988222126713d3474360', 'result.yaml': 'd7384d354400f1322ae6d52db0769bf81691f6f5bcaab744ed283125aee9c1ee'}",0.03804408,0.04326713,354207,249674,104461,10120,0.0829854,0.00522305
historical_none,mathd_algebra_190,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_190__luna-none-medium__gpt-5.6-luna__seed0,mathd_algebra_190__luna-none-medium__gpt-5.6-luna__seed0,True,2,False,"{'cache.yaml': '7bfd49362f87e5647950f063e12668c55c599924f07fba20a222f204406e276d', 'result.yaml': '807cd2cddbe1c89e0ef6db5b12025ddbe9b74ee2bc2959c152349745fd078bac'}",0.0005643,0.000634,7755,6355,1394,131,0.0017081999999999998,6.97e-05
historical_none,mathd_numbertheory_284,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_284__luna-none-medium__gpt-5.6-luna__seed0,mathd_numbertheory_284__luna-none-medium__gpt-5.6-luna__seed0,True,1,False,"{'cache.yaml': '1be189fbeefbd730bbfe8e2187b1eae10c3d562fd82e9774ce29ba1a67f6db4e', 'result.yaml': 'f2eb727614c90ca00f519177e36bb30a574505f402e61acc73082ef894c60245'}",0.00038374,0.00044249000000000003,3785,2607,1175,80,0.000853,5.875e-05
historical_none,imo_1964_p2,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,True,9,False,"{'cache.yaml': '03fb6e41644ba8b642b3590c77662b2bf7efd77e98d053e3738e7553f9d1d645', 'result.yaml': 'c912ed644d3c7a0bfe68349acdba207fe9059854b6c7507935ce9bca6e8e63a2'}",0.01614792,0.01780307,67026,33896,33103,7370,0.022249199999999997,0.00165515
historical_none,aime_1984_p7,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,True,9,False,"{'cache.yaml': '417fda6a8e3f57f7bc09db166a9800fcebcd992dc6684b80be78422d57461a20', 'result.yaml': 'd633fe37718a7c3bc1074cf031b7431e97a1009bee25667d4146df68c3671063'}",0.033174659999999995,0.03706686,101334,23463,77844,14276,0.037398,0.0038921999999999997
historical_none,amc12a_2013_p8,0,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,True,8,False,"{'cache.yaml': '69d0ee31c061de1df6191d26bd52b1f91893ebc08c08e8970ba7459d010e7e5d', 'result.yaml': 'e63d7ab933e9e3acfab1ce69130058c6c4956614e337e11588e9912df98325b3'}",0.006025399999999999,0.006549449999999999,40945,30440,10481,2763,0.0115046,0.00052405
