stage,arm,role,theorem,seed,valid_or_solved,qualified_solve,platform_failed,cost,input,cached,output
adaptation,candidate,curator,aime_1988_p3,0,True,False,False,0.0074306,27799,0,1559
adaptation,candidate,curator,amc12a_2003_p1,0,True,False,False,0.004164,14022,0,1133
adaptation,candidate,curator,induction_pord1p1on2powklt5on2,0,True,False,False,0.0035727999999999997,14606,0,543
adaptation,candidate,reducer,batch0,0,True,False,False,0.0060539999999999995,23832,0,1073
adaptation,candidate,reflector,imo_1967_p3,0,True,False,False,0.005972760000000001,54861,31828,608
adaptation,candidate,reflector,aime_1988_p3,0,True,False,False,0.006096559999999999,32170,4688,422
adaptation,candidate,reflector,amc12a_2003_p1,0,True,False,False,0.0016331599999999998,9601,4688,464
adaptation,candidate,reflector,induction_pord1p1on2powklt5on2,0,True,False,False,0.00561706,49868,29003,720
adaptation,candidate,curator,mathd_numbertheory_221,0,True,False,False,0.0018279999999999998,7634,0,251
adaptation,candidate,curator,imo_1963_p5,0,True,False,False,0.0029065999999999996,10765,0,628
adaptation,candidate,reducer,batch1,0,True,False,False,0.0014103999999999998,5330,0,287
adaptation,candidate,reflector,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,False,False,0.00473986,43511,26013,600
adaptation,candidate,reflector,mathd_algebra_185,0,True,False,False,0.0051094,45836,27210,700
adaptation,candidate,reflector,mathd_numbertheory_221,0,True,False,False,0.00127338,15885,12489,287
adaptation,candidate,reflector,imo_1963_p5,0,True,False,False,0.00550584,45744,26852,992
adaptation,candidate,curator,aime_1984_p1,0,True,False,False,0.0313296,148992,0,1276
adaptation,candidate,curator,amc12a_2013_p7,0,True,False,False,0.002077,8249,0,356
adaptation,candidate,curator,mathd_algebra_206,0,True,False,False,0.0023493999999999998,8705,0,507
adaptation,candidate,curator,mathd_numbertheory_301,0,True,False,False,0.0020756,8122,0,376
adaptation,candidate,reducer,batch2,0,True,False,False,0.0062908,27794,0,610
adaptation,candidate,reflector,aime_1984_p1,0,True,False,False,0.006958319999999999,105669,84566,872
adaptation,candidate,reflector,amc12a_2013_p7,0,True,False,False,0.00152312,17311,13146,356
adaptation,candidate,reflector,mathd_algebra_206,0,True,False,False,0.00192594,18204,13567,606
adaptation,candidate,reflector,mathd_numbertheory_301,0,True,False,False,0.00165114,17676,13347,432
adaptation,candidate,curator,aime_1988_p8,0,True,False,False,0.003058,12578,0,452
adaptation,candidate,curator,amc12a_2016_p2,0,True,False,False,0.0028002,10209,0,632
adaptation,candidate,curator,mathd_algebra_224,0,True,False,False,0.004767,20301,0,589
adaptation,candidate,reducer,batch3,0,True,False,False,0.0024133999999999996,9223,0,474
adaptation,candidate,reflector,imo_1968_p5_1,0,True,False,False,0.002386,56162,54400,788
adaptation,candidate,reflector,aime_1988_p8,0,True,False,False,0.0039001599999999997,18170,4688,925
adaptation,candidate,reflector,amc12a_2016_p2,0,True,False,False,0.0025522599999999998,21977,15333,764
adaptation,candidate,reflector,mathd_algebra_224,0,True,False,False,0.00628488,56043,32334,747
adaptation,candidate,curator,mathd_numbertheory_326,0,True,False,False,0.0021604,9266,0,256
adaptation,candidate,curator,aime_1990_p4,0,True,False,False,0.0012629999999999998,4911,0,234
adaptation,candidate,curator,amc12a_2017_p7,0,True,False,False,0.0037387999999999996,12076,0,1103
adaptation,candidate,reducer,batch4,0,True,False,False,0.0037549999999999997,13315,0,910
adaptation,candidate,reflector,mathd_numbertheory_326,0,True,False,False,0.00111976,7724,4688,349
adaptation,candidate,reflector,imo_1977_p6,0,True,False,False,0.00491488,41915,25254,898
adaptation,candidate,reflector,aime_1990_p4,0,True,False,False,0.0032631599999999998,30486,19378,545
adaptation,candidate,reflector,amc12a_2017_p7,0,True,False,False,0.0033751399999999996,29974,19367,722
adaptation,candidate,curator,mathd_algebra_247,0,True,False,False,0.0025854,10827,0,350
adaptation,candidate,curator,mathd_numbertheory_35,0,True,False,False,0.00258904,15551,5082,328
adaptation,candidate,curator,imo_1983_p6,0,True,False,False,0.004749,17853,0,982
adaptation,candidate,curator,amc12a_2020_p13,0,True,False,False,0.0042476,18466,0,462
