receipt,stage,cell,model,created_utc,charged,repriced,input,cached,output,reasoning,uncached_cost,exception,response_id,provider_model
5d638687ab9f47338c041dde7540d87c,round1,round1__x3__proof__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-18T14:27:29.344143+00:00,0.00089064,0.00089064,6180,4772,428,325,0.0017496,,resp_0bc28a7f0ab42438006aad4a530ef887d2a601cc0c3bf6d862,gpt-5.6-luna
68502a2acdcc4b60a30de491ef2d63af,round1,round1__examples__proof__mathd_numbertheory_458__seed0,gpt-5.6-luna,2026-09-18T14:27:29.371977+00:00,0.0008882199999999999,0.0008882199999999999,11657,10491,371,290,0.0027765999999999997,,resp_0043477e77f454c9006aad4a534b7c87d2a986fa254901d3f2,gpt-5.6-luna
f4e9f710320c4ee681d24be672827cb5,round1,round1__examples__proof__imo_1967_p3__seed0,gpt-5.6-luna,2026-09-18T14:27:29.384820+00:00,0.00091322,0.00091322,12286,10491,287,179,0.0028016,,resp_05002b089403b5c7006aad4a5312ac87d2b9788f66baf19641,gpt-5.6-luna
3778073d763f4b0a9455c2fab4d7bc0e,round1,round1__polished__proof__mathd_numbertheory_458__seed0,gpt-5.6-luna,2026-09-18T14:27:29.397532+00:00,0.0004986599999999999,0.0004986599999999999,6039,4873,140,72,0.0013758,,resp_0cddfc344a514baf006aad4a530f5c87d28a48ff213cd36fa6,gpt-5.6-luna
21807550430b4b64a4de421ed9eea7e4,round1,round1__x3__proof__imo_1977_p6__seed0,gpt-5.6-luna,2026-09-18T14:27:29.410579+00:00,0.00135004,0.00135004,6515,4772,755,688,0.002209,,resp_0cb73aaf2d795c70006aad4a52fe4887d2b65a374febd4de52,gpt-5.6-luna
32cc086824ab4f90a2990b58cbd26d39,round1,round1__x3__proof__mathd_algebra_37__seed0,gpt-5.6-luna,2026-09-18T14:27:29.423862+00:00,0.00046484,0.00046484,5869,4772,125,94,0.0013238,,resp_0c1d2244fdf452a5006aad4a53143487d2993e6d467f2b4922,gpt-5.6-luna
7bf1bbbff92349fba7abd3e533f5e5d3,round1,round1__examples__proof__mathd_algebra_37__seed0,gpt-5.6-luna,2026-09-18T14:27:29.436710+00:00,0.00055642,0.00055642,11588,10491,106,74,0.0024448,,resp_0c98041b29a13e61006aad4a52fa2887d2bb4dbe9e39be1383,gpt-5.6-luna
48b5bee93d6940a4a01cefb9d5cd37f1,round1,round1__examples__proof__mathd_numbertheory_326__seed0,gpt-5.6-luna,2026-09-18T14:27:29.450923+00:00,0.00060642,0.00060642,11658,10491,136,66,0.0024948,,resp_03275bf20a8881b7006aad4a52fe6c87d2b69be1e6efedaf55,gpt-5.6-luna
a9113b3794cb4fbda5a5c411b5d14b88,round1,round1__examples__proof__mathd_numbertheory_221__seed0,gpt-5.6-luna,2026-09-18T14:27:29.464165+00:00,0.0025472,0.0025472,11788,0,158,100,0.0025472,,resp_0f1016fc9b000561006aad4a5309bc87d28915cc9406420049,gpt-5.6-luna
14ae33d91fbc4aeea6adacc5abedf15a,round1,round1__polished__proof__imo_1977_p6__seed0,gpt-5.6-luna,2026-09-18T14:27:29.477206+00:00,0.0006404599999999999,0.0006404599999999999,6616,4873,162,106,0.0015175999999999998,,resp_0be637a394ca6776006aad4a53136887d28d6284d364694f73,gpt-5.6-luna
1ecd4f3a20fc4624a46a3bb467dd3961,round1,round1__polished__proof__mathd_numbertheory_326__seed0,gpt-5.6-luna,2026-09-18T14:27:29.490971+00:00,0.00048926,0.00048926,6040,4873,132,68,0.0013663999999999998,,resp_0d47d32a56d7b315006aad4a52f7b487d2b8268bdb1791179a,gpt-5.6-luna
066814fd3b6b44f0b75fd44852d093b7,round1,round1__polished__proof__mathd_numbertheory_221__seed0,gpt-5.6-luna,2026-09-18T14:27:29.506022+00:00,0.0013779999999999999,0.0013779999999999999,6170,0,120,63,0.0013779999999999999,,resp_08ee8ca7e9912912006aad4a52f32087d2b7ab38c590534f53,gpt-5.6-luna
71021bf40b54433694b646626a95b367,round1,round1__examples__proof__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-18T14:27:29.521313+00:00,0.00069542,0.00069542,11899,10491,170,95,0.0025838000000000002,,resp_035d949d86b2a666006aad4a5336e487d2ba55287c4002ffa5,gpt-5.6-luna
46d443735531492db27a51e53a6465b8,round1,round1__x3__proof__mathd_numbertheory_326__seed0,gpt-5.6-luna,2026-09-18T14:27:29.531501+00:00,0.00050164,0.00050164,5939,4772,144,102,0.0013606,,resp_03f6f3ebf84153e4006aad4a53105c87d2ae0df2d4f502e22f,gpt-5.6-luna
697d85b35b5b44a9aa8fec2193c877b7,round1,round1__polished__proof__mathd_algebra_323__seed0,gpt-5.6-luna,2026-09-18T14:27:29.546457+00:00,0.00124146,0.00124146,6201,4873,732,516,0.0021186,,resp_0f3059fcc91588f3006aad4a53195c87d2b197ffea276d63b3,gpt-5.6-luna
86096cfe1f1d49f595313b8720c24105,round1,round1__x3__proof__imo_1967_p3__seed0,gpt-5.6-luna,2026-09-18T14:27:29.560557+00:00,0.00071604,0.00071604,6567,4772,218,130,0.001575,,resp_080432afb2ba7ba9006aad4a536a4887d2897ca99acf483f5c,gpt-5.6-luna
2993fe608fec45c18ef05b24faa15747,round1,round1__examples__proof__imo_1977_p6__seed0,gpt-5.6-luna,2026-09-18T14:27:29.571393+00:00,0.00065922,0.00065922,12234,10491,84,51,0.0025475999999999997,,resp_04ad5613b1bf1c4f006aad4a531a5487d2be1bd0f5bfe0168a,gpt-5.6-luna
89029308d3804bd5b626affbdb5190e4,round1,round1__polished__proof__aime_1990_p4__seed0,gpt-5.6-luna,2026-09-18T14:27:29.584887+00:00,0.00094786,0.00094786,6281,4873,474,386,0.0018249999999999998,,resp_02c99ac556bb4e1f006aad4a531c4087d280129e957d716078,gpt-5.6-luna
43df74ce3cac402ca9c4e2767eb612d3,round1,round1__polished__proof__imo_1967_p3__seed0,gpt-5.6-luna,2026-09-18T14:27:29.602777+00:00,0.0008200600000000001,0.0008200600000000001,6668,4873,303,198,0.0016971999999999998,,resp_0029765630f76e8e006aad4a53b6ec87d2b1bcf897d9c71c4d,gpt-5.6-luna
