bench_name,draft_model_name,repair_model_name,draft_reasoning_effort,repair_reasoning_effort,num_completions,max_repair_cycles_per_step,max_total_steps,seed,loop,max_draft_feedback_cycles,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,207,0.0030085
002,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,422,0.0051585
003,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3745,3328,775,0.008687249999999999
004,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3744,3328,983,0.010765999999999998
005,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,750,0.0084385
006,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,838,0.009318499999999999
007,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1202,0.0129585
008,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1942,0.020358499999999998
009,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3746,3328,1699,0.017928499999999997
010,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3747,3328,525,0.006189749999999999
011,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3752,3328,141,0.0023559999999999996
012,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3755,3328,886,0.009809749999999999
013,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3755,3328,1187,0.012819749999999998
014,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3749,3328,107,0.00201225
015,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3750,0,913,0.0138175
016,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3750,3328,1442,0.015363499999999999
017,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3751,3328,238,0.0033247499999999996
018,gpt-5.4,gpt-5.4,medium,low,2,4,30,0,True,2,True,2,8656,6656,8127,0.084602
019,gpt-5.4,gpt-5.4,medium,low,3,4,30,0,True,2,True,3,15154,11520,11351,0.11949249999999999
020,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3752,3328,6635,0.067296
021,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3753,3328,4017,0.041117249999999994
022,gpt-5.4,gpt-5.4,medium,low,1,4,30,0,True,2,True,1,3756,3328,2887,0.029820999999999997
