check,actual,expected
gpt-5.6-luna/luna count,40,40
gpt-5.6-luna/luna cost,0.66722836,0.66722836
gpt-5.6-luna/luna solves,27,27
experiments/output/ace_polish_validation/configs/imo_1960_p2__reference-r64__gpt-5.6-luna__seed0 repricing,0.00632444,0.00632444
experiments/output/ace_polish_validation/configs/aime_1991_p6__reference-r64__gpt-5.6-luna__seed0 repricing,0.03469452,0.03469452
experiments/output/ace_polish_validation/configs/amc12a_2008_p4__reference-r64__gpt-5.6-luna__seed0 repricing,0.0091323,0.0091323
experiments/output/ace_polish_validation/configs/induction_prod1p1onk3le3m1onn__reference-r64__gpt-5.6-luna__seed0 repricing,0.04039864,0.04039864
experiments/output/ace_polish_validation/configs/algebra_others_exirrpowirrrat__reference-r64__gpt-5.6-luna__seed0 repricing,0.036673559999999994,0.036673559999999994
experiments/output/ace_polish_validation/configs/mathd_algebra_190__reference-r64__gpt-5.6-luna__seed0 repricing,0.00030785999999999997,0.00030785999999999997
experiments/output/ace_polish_validation/configs/mathd_numbertheory_284__reference-r64__gpt-5.6-luna__seed0 repricing,0.00047744,0.00047744
experiments/output/ace_polish_validation/configs/imo_1964_p2__reference-r64__gpt-5.6-luna__seed0 repricing,0.01376906,0.01376906
experiments/output/ace_polish_validation/configs/aime_1984_p7__reference-r64__gpt-5.6-luna__seed0 repricing,0.02100072,0.02100072
experiments/output/ace_polish_validation/configs/amc12a_2013_p8__reference-r64__gpt-5.6-luna__seed0 repricing,0.0056448,0.0056448
experiments/output/ace_polish_validation/configs/mathd_algebra_214__reference-r64__gpt-5.6-luna__seed0 repricing,0.00059424,0.00059424
experiments/output/ace_polish_validation/configs/mathd_numbertheory_303__reference-r64__gpt-5.6-luna__seed0 repricing,0.04002686,0.04002686
experiments/output/ace_polish_validation/configs/imo_1969_p2__reference-r64__gpt-5.6-luna__seed0 repricing,0.03866376,0.03866376
experiments/output/ace_polish_validation/configs/aime_1989_p8__reference-r64__gpt-5.6-luna__seed0 repricing,0.000312,0.000312
experiments/output/ace_polish_validation/configs/amc12a_2016_p3__reference-r64__gpt-5.6-luna__seed0 repricing,0.00671758,0.00671758
experiments/output/ace_polish_validation/configs/mathd_algebra_234__reference-r64__gpt-5.6-luna__seed0 repricing,0.00035376,0.00035376
experiments/output/ace_polish_validation/configs/mathd_numbertheory_33__reference-r64__gpt-5.6-luna__seed0 repricing,0.00092788,0.00092788
experiments/output/ace_polish_validation/configs/imo_1981_p6__reference-r64__gpt-5.6-luna__seed0 repricing,0.0078697,0.0078697
experiments/output/ace_polish_validation/configs/aime_1991_p9__reference-r64__gpt-5.6-luna__seed0 repricing,0.035652699999999996,0.035652699999999996
experiments/output/ace_polish_validation/configs/amc12a_2019_p21__reference-r64__gpt-5.6-luna__seed0 repricing,0.040915639999999996,0.040915639999999996
experiments/output/ace_polish_validation/configs/mathd_algebra_251__reference-r64__gpt-5.6-luna__seed0 repricing,0.00034186000000000004,0.00034186000000000004
experiments/output/ace_polish_validation/configs/mathd_numbertheory_37__reference-r64__gpt-5.6-luna__seed0 repricing,0.018928359999999998,0.018928359999999998
experiments/output/ace_polish_validation/configs/imo_1984_p6__reference-r64__gpt-5.6-luna__seed0 repricing,0.03317128,0.03317128
experiments/output/ace_polish_validation/configs/amc12a_2020_p21__reference-r64__gpt-5.6-luna__seed0 repricing,0.0363663,0.0363663
experiments/output/ace_polish_validation/configs/mathd_algebra_282__reference-r64__gpt-5.6-luna__seed0 repricing,0.03626396,0.03626396
experiments/output/ace_polish_validation/configs/mathd_numbertheory_405__reference-r64__gpt-5.6-luna__seed0 repricing,0.040541839999999996,0.040541839999999996
experiments/output/ace_polish_validation/configs/amc12b_2002_p3__reference-r64__gpt-5.6-luna__seed0 repricing,0.005691659999999999,0.005691659999999999
experiments/output/ace_polish_validation/configs/mathd_algebra_327__reference-r64__gpt-5.6-luna__seed0 repricing,0.00129784,0.00129784
experiments/output/ace_polish_validation/configs/mathd_numbertheory_43__reference-r64__gpt-5.6-luna__seed0 repricing,0.019050199999999996,0.019050199999999996
experiments/output/ace_polish_validation/configs/amc12b_2003_p6__reference-r64__gpt-5.6-luna__seed0 repricing,0.023090899999999998,0.023090899999999998
experiments/output/ace_polish_validation/configs/mathd_algebra_393__reference-r64__gpt-5.6-luna__seed0 repricing,0.01220498,0.01220498
experiments/output/ace_polish_validation/configs/mathd_numbertheory_461__reference-r64__gpt-5.6-luna__seed0 repricing,0.0006368400000000001,0.0006368400000000001
experiments/output/ace_polish_validation/configs/amc12b_2020_p5__reference-r64__gpt-5.6-luna__seed0 repricing,0.00033951999999999995,0.00033951999999999995
experiments/output/ace_polish_validation/configs/mathd_algebra_421__reference-r64__gpt-5.6-luna__seed0 repricing,0.00162758,0.00162758
experiments/output/ace_polish_validation/configs/mathd_numbertheory_530__reference-r64__gpt-5.6-luna__seed0 repricing,0.035738439999999996,0.035738439999999996
experiments/output/ace_polish_validation/configs/amc12_2000_p12__reference-r64__gpt-5.6-luna__seed0 repricing,0.01450842,0.01450842
experiments/output/ace_polish_validation/configs/mathd_algebra_433__reference-r64__gpt-5.6-luna__seed0 repricing,0.0018152399999999999,0.0018152399999999999
experiments/output/ace_polish_validation/configs/mathd_numbertheory_64__reference-r64__gpt-5.6-luna__seed0 repricing,0.00614216,0.00614216
experiments/output/ace_polish_validation/configs/amc12_2001_p21__reference-r64__gpt-5.6-luna__seed0 repricing,0.03846148,0.03846148
experiments/output/ace_polish_validation/configs/amc12a_2002_p6__reference-r64__gpt-5.6-luna__seed0 repricing,0.00055204,0.00055204
gpt-5.6-luna/none count,40,40
gpt-5.6-luna/none cost,0.7765120999999999,0.7765120999999999
gpt-5.6-luna/none solves,24,24
experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.039185399999999995,0.039185399999999995
experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03157002,0.03157002
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.02006062,0.02006062
experiments/output/ace_attribution_20260912/validation/luna-none/configs/induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0229819,0.0229819
experiments/output/ace_attribution_20260912/validation/luna-none/configs/algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03804408,0.03804408
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_190__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0005643,0.0005643
