administrative,book,cached_input_tokens,cost,exceptions,failed,historical,input_tokens,model,output_tokens,requests,rocq_seconds,solved,source,status,theorem,token_cost,new_charge
False,luna,36742.0,0.00632444,{},False,True,47752.0,gpt-5.6-luna,2823.0,6,1.2044650111347437,True,experiments/output/ace_polish_validation/configs/imo_1960_p2__reference-r64__gpt-5.6-luna__seed0,done,imo_1960_p2,0.00632444,
False,luna,116676.0,0.03469452,{},False,True,166875.0,gpt-5.6-luna,18601.0,13,36.31686616456136,False,experiments/output/ace_polish_validation/configs/aime_1991_p6__reference-r64__gpt-5.6-luna__seed0,done,aime_1991_p6,0.03469452,
False,luna,62825.0,0.0091323,{},False,True,85350.0,gpt-5.6-luna,2809.0,10,15.997393753845245,True,experiments/output/ace_polish_validation/configs/amc12a_2008_p4__reference-r64__gpt-5.6-luna__seed0,done,amc12a_2008_p4,0.0091323,
False,luna,129062.0,0.04039864,{},False,True,237491.0,gpt-5.6-luna,13443.0,17,1.9670725697651505,True,experiments/output/ace_polish_validation/configs/induction_prod1p1onk3le3m1onn__reference-r64__gpt-5.6-luna__seed0,done,induction_prod1p1onk3le3m1onn,0.04039864,
False,luna,402238.0,0.036673559999999994,{},False,True,474066.0,gpt-5.6-luna,11886.0,32,3.1890500746667385,False,experiments/output/ace_polish_validation/configs/algebra_others_exirrpowirrrat__reference-r64__gpt-5.6-luna__seed0,done,algebra_others_exirrpowirrrat,0.036673559999999994,
False,luna,5943.0,0.00030785999999999997,{},False,True,5946.0,gpt-5.6-luna,157.0,1,0.5832970379851758,True,experiments/output/ace_polish_validation/configs/mathd_algebra_190__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_190,0.00030785999999999997,
False,luna,4772.0,0.00047744,{},False,True,5980.0,gpt-5.6-luna,117.0,1,0.6582022630609572,True,experiments/output/ace_polish_validation/configs/mathd_numbertheory_284__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_284,0.00047744,
False,luna,40503.0,0.01376906,{},False,True,64240.0,gpt-5.6-luna,6843.0,7,1.3758403835818172,True,experiments/output/ace_polish_validation/configs/imo_1964_p2__reference-r64__gpt-5.6-luna__seed0,done,imo_1964_p2,0.01376906,
False,luna,96096.0,0.02100072,{},False,True,113952.0,gpt-5.6-luna,12923.0,11,3.234975187573582,True,experiments/output/ace_polish_validation/configs/aime_1984_p7__reference-r64__gpt-5.6-luna__seed0,done,aime_1984_p7,0.02100072,
False,luna,20830.0,0.0056448,{},False,True,26559.0,gpt-5.6-luna,3402.0,4,1.1506758062168956,True,experiments/output/ace_polish_validation/configs/amc12a_2013_p8__reference-r64__gpt-5.6-luna__seed0,done,amc12a_2013_p8,0.0056448,
False,luna,4772.0,0.00059424,{},False,True,6072.0,gpt-5.6-luna,199.0,1,0.6170080490410328,True,experiments/output/ace_polish_validation/configs/mathd_algebra_214__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_214,0.00059424,
False,luna,280833.0,0.04002686,{},False,True,364522.0,gpt-5.6-luna,14727.0,23,76.59349645208567,False,experiments/output/ace_polish_validation/configs/mathd_numbertheory_303__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_303,0.04002686,
False,luna,169668.0,0.03866376,{},False,True,278496.0,gpt-5.6-luna,11254.0,19,3.401567969005555,False,experiments/output/ace_polish_validation/configs/imo_1969_p2__reference-r64__gpt-5.6-luna__seed0,done,imo_1969_p2,0.03866376,
False,luna,6570.0,0.000312,{},False,True,6573.0,gpt-5.6-luna,150.0,1,0.0007367879152297974,True,experiments/output/ace_polish_validation/configs/aime_1989_p8__reference-r64__gpt-5.6-luna__seed0,done,aime_1989_p8,0.000312,
False,luna,36899.0,0.00671758,{},False,True,49865.0,gpt-5.6-luna,2822.0,6,1.277695510070771,True,experiments/output/ace_polish_validation/configs/amc12a_2016_p3__reference-r64__gpt-5.6-luna__seed0,done,amc12a_2016_p3,0.00671758,
False,luna,5958.0,0.00035376,{},False,True,5961.0,gpt-5.6-luna,195.0,1,1.0086308289319277,True,experiments/output/ace_polish_validation/configs/mathd_algebra_234__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_234,0.00035376,
