bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,reasoning_effort,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2655,1792,2704,0.028342749999999996
002,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2655,1792,5093,0.052232749999999994
003,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2654,0,10935,0.11266749999999999
004,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2653,1792,10237,0.10367024999999999
005,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2655,1792,3159,0.03289275
006,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2655,1792,4364,0.04494275
007,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2655,1792,5504,0.05634274999999999
008,gpt-5.4-nano,1.0,4,10,0,medium,True,2,6316,3584,22598,0.22984299999999996
009,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2655,1792,9354,0.09484275
010,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2656,1792,20162,0.202924
011,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2661,1792,3733,0.038640249999999994
012,gpt-5.4-nano,1.0,4,10,0,medium,True,2,5763,3584,14634,0.14951175
013,gpt-5.4-nano,1.0,4,10,0,medium,True,2,5825,3584,19335,0.19659924999999998
014,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2658,1792,1790,0.019206499999999998
015,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2659,0,22080,0.22412374999999995
016,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2659,1792,26649,0.26779774999999995
017,gpt-5.4-nano,1.0,2,10,0,medium,True,1,2660,0,2041,0.023735
018,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2664,1792,32772,0.32903399999999994
019,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2664,1792,42722,0.42853399999999997
020,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2661,1792,33963,0.34094025
021,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2662,1792,21433,0.21564149999999999
022,gpt-5.4-nano,1.0,2,10,0,medium,False,1,2665,1792,30412,0.30543524999999994
